00;No residente
01;Álava
02;Albacete
03;Alicante
53;Alicante
54;Alicante
04;Almer¡a
05;Ávila
06;Badajoz
07;Islas Baleares
57;Islas Baleares
08;Barcelona
58;Barcelona
59;Barcelona
60;Barcelona
61;Barcelona
62;Barcelona
63;Barcelona
64;Barcelona
65;Barcelona
66;Barcelona
68;Barcelona
09;Burgos
10;Cáceres
11;Cádiz
72;Cádiz
12;Castellón
13;Ciudad Real
14;Córdoba
56;Córdoba
15;La Coruña
70;La Coruña
16;Cuenca
17;Gerona
55;Gerona
18;Granada
19;Guadalajara
20;Guipuzcoa
21;Huelva
22;Huesca
23;Jaén
24;León
25;Lérida
26;La Rioja
27;Lugo
28;Madrid
78;Madrid
79;Madrid
80;Madrid
81;Madrid
82;Madrid
83;Madrid
84;Madrid
85;Madrid
86;Madrid
87;Madrid
29;Málaga
92;Málaga
93;Málaga
30;Murcia
73;Murcia
31;Navarra
71;Navarra
32;Orense
33;Asturias
74;Asturias
52;Asturias
34;Palencia
35;Las Palmas
76;Las Palmas
36;Pontevedra
94;Pontevedra
37;Salamanca
38;Santa Cruz de Tenerife
39;Cantabria
40;Segovia
41;Sevilla
90;Sevilla
91;Sevilla
42;Soria
43;Tarragona
77;Tarragona
44;Teruel
45;Toledo
46;Valencia
96;Valencia
97;Valencia
98;Valencia
47;Valladolid
48;Vizcaya
95;Vizcaya
49;Zamora
50;Zaragoza
99;Zaragoza
51;Ceuta
52;Melilla
